Artist,year,monthday,auction house,seller,artwork title 1,Measurements,purchaser,pounds,shillings,pence
"REYNOLDS, Sir Joshua",1837,30-Jun,Christie's,Zachary,The Banished Lord,,,2,2,0
"REYNOLDS, Sir Joshua",1890,19-Jul,Christie's,Young,20. Sir J. Reynolds in Spectacles. Presented to Dr. Thomas Young,,Bought in,120,15,0
"REYNOLDS, Sir Joshua",1829,30-May,Christie's,Yatman,Children playing at Forfeitsbeing the family of the late Earl of Halifax,,Passed,105,0,0
"MIERIS, Francis",1807,4-Jul,Mr. Christie,Yarmouth,0. Young Lady in Red Corset,,Bought in,409,10,0
"NETSCHER, Gaspar",1808,Mar. 12,Mr. Christie,Yarmouth,0. Girl making Lace,,Bought in,152,5,0
"NASMYTH, Patrick",1876,6-May,Christie's,Wynn Ellis,Woody LandscapeTwo Men and Dog.12x16,,Moray,420,0,0
"NASMYTH, Patrick",1876,6-May,Christie's,Wynn Ellis,View in Northamptonshire.27x 39^,,Williams,682,10,0
"NASMYTH, Patrick",1876,17-Jun,Christie's,Wynn Ellis,Rufina J,,,,,
"NASMYTH, Patrick",1876,6-May,Christie's,Wynn Ellis,Man seated in Quarry,,Agnew,147,0,0
"MURILLO, Bartolom Estban",1876,17-Jun,Christie's,Wynn Ellis,Justina 1,,Graves,241,10,0
"MURILLO, Bartolom Estban",1876,17-Jun,Christie's,Wynn Ellis,Joseph and Infant Christ,,M. Colnaghi,231,0,0
"REYNOLDS, Sir Joshua",1876,6-May,Christie's,Wynn Ellis,Johnson. Small copy,2X9J,Sir W. Stirling,46,4,0
"NASMYTH, Patrick",1876,6-May,Christie's,Wynn Ellis,Gardener's CottageMan Angling,,Walter,199,10,0
"RUYSDAEL, Jacob",1876,27-May,Christie's,Wynn Ellis,Frost SceneWindmill and Figures,,Warwick,123,18,0
"NASMYTH, Patrick",1876,6-May,Christie's,Wynn Ellis,Essex CoastBoats and Figures,,Permain,210,0,0
"NASMYTH, Patrick",1876,6-May,Christie's,Wynn Ellis,Ducks in a Pool.12x16,,Moray,556,10,0
"NASMYTH, Patrick",1876,6-May,Christie's,Wynn Ellis,Cottage at End of Lake.10x14,,Moray,131,5,0
"PYNAKER, Adam",1876,27-May,Christie's,Wynn Ellis,9. Sunny RiverBoats and Figures,,Gladway,220,10,0
"REYNOLDS, Sir Joshua",1876,6-May,Christie's,Wynn Ellis,9. Miss Bowles and Dog. Small copy. i8|x,, Oliver,70,7,0
"REYNOLDS, Sir Joshua",1876,6-May,Christie's,Wynn Ellis,9. Lady Betty Foster (?) in White,8! x 39,Hill,178,10,0
"LANDSEER, Sir Edwin",1876,5/6/16,Christie's,Wynn Ellis,8. Penshurst,x5,Polak,21,10,6
"REYNOLDS, Sir Joshua",1876,6-May,Christie's,Wynn Ellis,8. Nelly O'Brien with Cushion,0^ x 24!,Johnson,609,0,0
"REYNOLDS, Sir Joshua",1876,6-May,Christie's,Wynn Ellis,7. Lord Boringdon and Sister,x 6|-,McLean,21,0,0
"REYNOLDS, Sir Joshua",1876,6-May,Christie's,Wynn Ellis,7. Girl with a Dove,Spurious),,52,10,0
"OSTADE, Adriaen van",1876,27-May,Christie's,Wynn Ellis,7. Boors Smoking,,Lesser,159,12,0